"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,-0.00472869565453333,0.0200800264682243,-0.0247767648245416,-0.00423225156274405,0.00225261779164141,0.00838357232752585,-0.0295131965123227,-0.0105346669169146,0.0185733006503068
0.00535759268130773,1,0.00497061813593601,-0.00728734747285755,-0.0143157521701782,0.0134947235327043,-0.00158999350036956,0.000884973169137795,-0.0132784364304047,0.00528158613121074
-0.00114854166651359,0.0020348406172193,1,-0.007498064920616,0.016263227003033,-0.00429696741239744,0.00709870105177863,-0.0173252665499378,0.00602185854629564,0.038579905709043
-0.00994925309052414,0.00364320484341472,0.00318879527763601,1,0.0176880662076487,0.0167479600947241,0.00758309240144058,0.00209260878848126,0.0228517552336135,-0.000331706541283798
0.000943024305870621,-0.00307781245366455,0.000928388363669737,-0.00506690866704608,1,-0.0253962468071056,-0.00845047087705758,-0.0159605861358593,-0.0139792084393528,0.00836744367764291
-0.00349639764508238,0.000207458883095462,-0.000620167135651781,0.0042933732058029,0.001704261918558,1,-0.0334739293413478,-0.0044169408777885,-0.00785611410917297,0.00656138490010885
-0.00202138964760149,-0.0031198953855897,-0.00110945950344636,0.00246665695583157,0.00242910592381876,-0.00586120838748906,1,-0.00675442708800256,0.00826687013771108,-0.0189215634372538
0.00179819452428369,0.00383862826871483,-0.00274057337326218,-0.00448015690488034,-0.00160507088928085,-0.00425524843384135,0.0018695756618116,1,0.00588059448129483,0.00685544013694294
-0.00443235318304189,-0.00335058075095495,0.000167437796166776,-0.000957407418556774,-0.00539442301014186,0.000773327274933242,-0.00299587124537721,0.00172147989998077,1,0.0182812127904532
-0.00127320511984985,-0.00749093085838529,0.00773511732863875,-0.000406938405306214,0.000107477508507857,-0.000385200718130067,0.000853338032123207,0.00553630837885827,-0.00219052679534585,1
